Source,Reference,Translation
Tūkstantinės minios panika Centriniame parke griuvus barjerui,Thousands in Central Park panic after barrier collapse,Thousands panic in Central Park after barrier collapses
"Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.","Thousands of people, panicked by possible gunshots at a politically charged event, fled through Central Park after a police barrier collapsed. 


Let me know if you have any other text you'd like me to translate!"
"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.",Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,"Well-known figures – including Democratic Party representative New York Governor Andrew Cuomo, Republican Senator Jeff Flake, Janet Jackson, and John Legend – have urged viewers to engage in the turbulent national politics. 


Let me know if you have any other text you'd like me to translate!"
"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"After a barrier collapsed at an event on Saturday evening, authorities quickly assured the audience that they were safe."
Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,Burning social justice issues dominated the event that started on a sunny afternoon.,"On a sunny afternoon at the event that had just begun, social justice was the main topic of discussion. 


Let me know if you have any other Lithuanian text you'd like me to translate!"
"Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","Approximately 60,000 spectators gathered at the Universal Citizens Festival held in the Great Meadow, where Cardi B, The Weeknd, and other pop stars were scheduled to perform."
Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,Some speakers asked viewers to call their representatives in Congress and express their opinion about this week's Senate hearings regarding Supreme Court nominee Brett Kavanaugh.
Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,Alastair Seeley continues British Supersport winning run at Assen,"Alistair Seeley's winning streak continues in British Supersport races at Assen. 


Let me know if you have any other Lithuanian text you'd like me to translate!"
Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,Alastair Seeley has continued his winning form in British Supersports,"Alastairas Seeley retained his winning position in the British Supersports races. 


Let me know if you have any other Lithuanian text you'd like me to translate!"
"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.",Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.,"Alastairas Seeley won his third victory in five British Supersport races, winning the 12-lap sprint held in Assen, Netherlands on Saturday."
"Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.",The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.,"The racer from Karikfergus overtook Jack Kennedy, who was driving a Yamaha, by 0.05 seconds. 


Let me know if you have any other Lithuanian text you'd like me to translate!"
38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,The 38-year-old also won races at Silverstone and Oulton Park this month.,"The 38-year-old winner also triumphed at Silverstone and Oulton Park this month. 


Let me know if you have any other Lithuanian text you'd like me to translate!"
"Seeley’is atstovauja Šiaurės Airijos komandai „EHA Racing“, su kuria gegužės mėn. jis jau laimėjo tarptautines „North West 200“ lenktynes.",Seeley is competing for the Northern Ireland-based EHA Racing outfit for whom he won a race at the North West 200 international road races in May.,"Seeley represents the Northern Irish team ""EHA Racing"", with whom he already won the international ""North West 200"" races in May."
"Buvęs Britanijos čempionas visas lenktynes rungėsi su Kennedy ir, nepaisant visų dubliniečio pastangų, jam nepavyko pralenkti varžovo iš Šiaurės Airijos.",The former British champion and Kennedy were involved in a race-long scrap and despite the Dubliner's last-ditch attempts he was unable to squeeze past the Northern Irishman.,"The former British champion raced the entire race against Kennedy and, despite all the Dubliner's efforts, he was unable to overtake his opponent from Northern Ireland."
Seeley’io komandos draugas Davidas Allinghamas šeštadienio „Supersport“ lenktynėse liko septintas.,Seeley's team-mate David Allingham was seventh in Saturday's Supersport race.,"Seeley's teammate David Allingham finished seventh in Saturday's ""Supersport"" race."
Scottas Swannas „British Talent Cup“ lenktynes baigė aštuntas.,Scott Swann was eighth in the British Talent Cup race.,"Scott Swann finished eighth in the British Talent Cup races. 


Let me know if you have any other text you'd like me to translate!"
"„Be Wiser Ducati“ vairuojantis Glennas Irwinas, bandantis pakilti aukščiau dabartinės ketvirtos vietos čempionato reitinguose, dviejuose sekmadienio „British Superbike“ lenktynių kvalifikaciniuose važiavimuose buvo ketvirtas.",Glenn Irwin was fourth quickest in qualifying for Sunday's two British Superbike races on his Be Wiser Ducati as he aims to improve on his current fourth place in the championship standings.,"Glenn Irwin, riding for Be Wiser Ducati, aiming to climb higher than his current fourth place in the championship standings, was fourth in both Sunday's British Superbike race qualifying sessions."
"Šią savaitę pranešta, kad Irwinas 2019 m. sezoną pereis į komandą „JG Speedfit Kawasaki“.",It was revealed earlier this week that Irwin would switch to the JG Speedfit Kawasaki team for the 2019 season.,"This week it was reported that Irwin will move to the JG Speedfit Kawasaki team for the 2019 season. 


Let me know if you have any other Lithuanian text you'd like me to translate!"
"Michaelas Laverty iš Toome, vairuojantis „Tyco BMW“, užėmė 13 vietą, o Andrew Irwinas ir jo „PBM Ducati“ – 14 vietą.",Toomebridge pilot Michael Laverty was 13th on his Tyco BMW and Andrew Irwin 14th on the second of the PBM Ducatis.,"Michael Laverty from Toome, driving the ""Tyco BMW"", finished in 13th place, while Andrew Irwin and his ""PBM Ducati"" came in 14th."
Kodėl Honkongo namų darbininkai mokosi šokio judesių?,Why are Hong Kong domestic workers practising their dance moves?,"Why do Hong Kong domestic workers learn dance moves? 


Let me know if you have any other Lithuanian text you'd like me to translate!"
Honkonge namų darbininkais dirba apie 300 000 užsieniečių.,"Some 300,000 foreign domestic helpers work in Hong Kong.","About 300,000 foreigners work as domestic helpers in Hong Kong."
Jų pagal įstatymus reikalaujama gyventi darbdavių namuose.,They're required by law to live in their employers' home.,"They are required by law to live in their employer's homes. 


Let me know if you have any other text you'd like me to translate!"
"Šie darbuotojai už nedidelį atlygį dirba šešias dienas per savaitę, iki 18 valandų per dieną.","They work six days a week, up to 18 hours a day - for a very small salary.","These employees work six days a week, until 6 p.m. each day, for a small wage. 


Let me know if you have any other text you'd like me to translate!"
"Šis pasakojimas – apie Mhelanie, kuri vienintelį laisvadienį skiria bendruomenės renginiams, padedantiems atsiplėšti nuo izoliuojančios darbo rutinos.",This is the story of Mhelanie who uses her only day off to take part in community events to escape her isolating work routine.,"This story is about Melanie, who dedicates her only free day to community events, helping her break free from the isolating work routine."
